                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.2116,                0.61353,                 1.0184,                0.86409,                0.75273,                0.80795,                0.55795,                 1.3058,                0.70262,                 1.0876,              0.0005446,              0.0005446,              0.0005446
                     95,                 1.1714,                 0.6155,                 1.0193,                0.84457,                0.78703,                 0.8224,                0.56409,                 1.2778,                0.67322,                 1.0755,             0.00053965,             0.00053965,             0.00053965
                     96,                 1.2087,                0.60881,                 1.0195,                0.84652,                0.77075,                0.81555,                0.56304,                 1.2894,                0.68375,                 1.0804,              0.0005347,              0.0005347,              0.0005347
                     97,                 1.1946,                0.60429,                 1.0146,                0.84374,                0.76648,                0.81295,                0.56355,                 1.2828,                0.68708,                  1.074,             0.00052975,             0.00052975,             0.00052975
                     98,                 1.2008,                0.59846,                 1.0154,                0.86626,                0.75679,                 0.8153,                0.56116,                 1.2937,                0.68912,                  1.084,              0.0005248,              0.0005248,              0.0005248
                     99,                 1.1782,                0.60559,                 1.0146,                0.84245,                0.76401,                0.81382,                0.56396,                 1.2856,                0.68455,                 1.0786,             0.00051985,             0.00051985,             0.00051985
                    100,                 1.1907,                0.60635,                 1.0167,                0.88552,                0.73654,                0.81131,                0.56453,                  1.282,                0.68998,                 1.0763,              0.0005149,              0.0005149,              0.0005149
                    101,                 1.1785,                0.58597,                 1.0024,                0.86875,                0.75038,                0.81948,                0.56604,                 1.2884,                 0.6764,                 1.0771,             0.00050995,             0.00050995,             0.00050995
                    102,                 1.1815,                0.59171,                 1.0016,                0.86337,                0.75811,                0.81318,                0.56411,                 1.3003,                0.67128,                 1.0841,               0.000505,               0.000505,               0.000505
                    103,                 1.1673,                0.58871,                 1.0108,                0.86852,                0.75617,                0.81486,                0.56118,                  1.308,                0.68048,                 1.0904,             0.00050005,             0.00050005,             0.00050005
                    104,                 1.1857,                 0.6022,                 1.0144,                0.87137,                0.75566,                0.81597,                0.56433,                 1.2915,                0.68165,                  1.082,              0.0004951,              0.0004951,              0.0004951
                    105,                 1.1763,                0.59787,                 1.0033,                0.88633,                0.73451,                0.81491,                0.56189,                 1.2786,                0.68169,                 1.0774,             0.00049015,             0.00049015,             0.00049015
                    106,                 1.1854,                0.60371,                 1.0134,                0.87212,                0.75858,                0.81848,                0.56327,                 1.2812,                0.67927,                 1.0811,              0.0004852,              0.0004852,              0.0004852
                    107,                 1.1581,                0.59383,                0.99969,                0.86083,                0.76749,                0.81827,                0.56628,                 1.2956,                0.67888,                 1.0907,             0.00048025,             0.00048025,             0.00048025
                    108,                 1.1703,                0.59982,                 1.0089,                0.87797,                0.74232,                0.81686,                0.56524,                 1.2899,                0.68651,                 1.0861,              0.0004753,              0.0004753,              0.0004753
                    109,                 1.1662,                0.59471,                  1.004,                 0.8755,                0.75683,                0.82007,                0.56531,                 1.2796,                0.68027,                  1.075,             0.00047035,             0.00047035,             0.00047035
                    110,                 1.1608,                0.60295,                 1.0111,                0.80657,                0.78919,                0.81926,                0.56626,                  1.283,                0.67308,                 1.0779,              0.0004654,              0.0004654,              0.0004654
                    111,                 1.1521,                0.59621,                 1.0025,                0.87633,                0.74564,                0.81799,                0.56442,                 1.2777,                0.67273,                 1.0793,             0.00046045,             0.00046045,             0.00046045
                    112,                 1.1629,                0.59454,                 1.0011,                 0.8589,                0.78289,                0.81863,                0.56731,                 1.2871,                0.67264,                 1.0898,              0.0004555,              0.0004555,              0.0004555
                    113,                 1.1435,                0.58421,                 0.9979,                0.86824,                0.75613,                0.82016,                0.56498,                 1.2942,                0.67311,                 1.0808,             0.00045055,             0.00045055,             0.00045055
